School,Games,Points,Passing Completions,Passing Attempts,Passing Percentage,Passing Yards,Passing Touchdowns,Rushing Attempts,Rushing Yards,Rushing Average,Rushing Touchdowns,Total Offense Plays,Total Offense Yards,Total Offense Average,First Downs (Passing),First Downs (Rushing),First Downs (Penalties),First Downs (Total),Penalties (Number),Penalties (Yards),Turnovers (Fumbles),Turnovers (Interceptions),Turnovers (Total)
Florida Atlantic,12,22.5,17.1,32.7,52.3,212.6,1,41.4,162.8,3.9,1.3,74.1,375.3,5.1,9.3,9.5,1.8,20.7,6.3,57.2,1.1,1,2.1
Minnesota,13,22.5,19.3,32.8,58.8,214.8,1.2,34.3,144.1,4.2,1.3,67.2,358.9,5.3,10.2,6.2,1.2,17.6,5.6,45.5,0.8,0.8,1.7
Fresno State,12,22.3,16.8,33.6,50.1,178.3,1.7,35.3,136.8,3.9,1.2,68.8,315.2,4.6,8.1,7.5,1.7,17.3,4.9,39.3,0.5,1.3,1.8
Massachusetts,12,22.2,23.4,41.3,56.8,257.5,1.5,32.7,142.3,4.4,1.3,73.9,399.8,5.4,11.8,6.9,2.7,21.3,7.4,63.9,0.5,1.1,1.6
Army,12,22.1,4.1,9,45.4,94,0.8,51.3,244.3,4.8,2,60.3,338.3,5.6,3,12.2,1.1,16.3,4,39.5,1.1,0.8,1.8
South Carolina,12,21.9,15.9,29.3,54.4,207.5,1.4,35.3,154.7,4.4,0.9,64.5,362.2,5.6,8.9,8.1,1,18,5,39,0.3,1,1.3
Louisiana-Monroe,13,21,19.7,36.7,53.7,207.9,1.9,32.7,102.9,3.1,0.5,69.4,310.8,4.5,9.8,5,1.8,16.6,7.3,58,0.8,1.5,2.3
Texas-El Paso,12,20.7,17.8,32,55.5,195.1,1.5,37.3,147.9,4,0.7,69.3,343,4.9,8.7,7.3,1.6,17.6,4.8,42.9,1.1,0.8,1.9
Tulane,12,19.7,17.1,33.6,50.9,201.3,1.5,33.1,115.8,3.5,0.9,66.7,317,4.8,9.3,5.7,1.3,16.3,5.8,53.4,0.4,0.8,1.3
Northwestern,13,19.5,13.4,27.1,49.4,138.5,0.6,46.2,188.5,4.1,1.2,73.2,327.1,4.5,7.8,8.6,1.4,17.8,4.5,39.7,0.5,1,1.5
Oregon State,12,19,13.4,28.6,46.9,159.1,0.8,37.2,177.3,4.8,1.3,65.8,336.4,5.1,7.4,8.3,1.8,17.6,6.3,58.7,0.4,0.9,1.3
Wyoming,12,19,15.3,25.7,59.4,186.3,1.7,39.8,174.4,4.4,1,65.5,360.7,5.5,7.9,10.3,1.9,20.1,6.3,56.8,0.8,0.9,1.8
Miami (OH),12,17.9,14.8,31.2,47.3,211,1.5,35.7,129.7,3.6,0.6,66.8,340.7,5.1,8.8,6.3,1.7,16.7,7.4,64.3,1,1.6,2.6
Hawaii,13,17.6,15.5,32.5,47.9,192.4,0.9,32.6,123.9,3.8,1.2,65.1,316.3,4.9,8.7,5.9,1.9,16.5,8.2,69,1,1.6,2.6
Charlotte,12,17.5,16.3,31.3,52.3,173.5,1,46.9,163.6,3.5,0.8,78.2,337.1,4.3,8,10.3,1.3,19.5,5.3,54.9,0.9,1.9,2.8
Wake Forest,12,17.4,19.7,34.8,56.6,228.3,1.1,34.8,105.7,3,1,69.5,333.9,4.8,10.3,6.2,2.5,18.9,5.1,46.9,0.5,1.5,2
Boston College,12,17.2,9.2,20.7,44.4,110.9,0.7,41.9,164.7,3.9,1.4,62.6,275.6,4.4,4.9,8,1.6,14.5,6.5,57.4,0.9,0.8,1.7
Connecticut,13,17.2,15.5,26.3,58.8,185.5,0.8,36.7,124.8,3.4,1.1,63,310.3,4.9,8.1,6.9,1.5,16.5,5.7,45.8,0.5,0.8,1.2
Kansas,12,15.3,20.3,37.7,53.8,218.6,0.9,37,112.9,3.1,0.8,74.7,331.5,4.4,9.3,5.5,0.9,17.7,5.8,55.3,0.8,1.2,2
North Texas,12,15.2,15.8,33.9,46.7,161.4,1,36.3,158.7,4.4,0.6,70.3,320.1,4.6,6.9,10.4,1.3,18.7,6.2,56.7,1.2,0.9,2.1
Vanderbilt,12,15.2,16,31.3,51.1,171.8,0.9,41.3,155.3,3.8,0.8,72.7,327.2,4.5,7.8,8.3,1.5,17.6,6.1,47.8,0.8,1.3,2.1
Central Florida,12,13.9,17.6,35.4,49.6,187.5,1.1,29.6,80.9,2.7,0.3,65,268.4,4.1,9.2,4.9,1.7,15.8,5.3,45.8,0.8,1.9,2.8
Missouri,12,13.6,15.5,31.1,49.9,165.5,0.8,33.1,115.4,3.5,0.4,64.2,280.9,4.4,7.1,6.3,1.7,15.1,5.3,43.1,0.4,1,1.4
Kent State,12,13.1,14.6,28.6,51,138.1,0.8,37.3,135.3,3.6,0.5,65.8,273.3,4.2,5.9,8.6,1.3,14.1,7.8,72.7,0.9,0.8,1.8
